year,UCR CRIME CATEGORY,count
2015.0,LARCENY-THEFT,5191
2015.0,BURGLARY,2013
2015.0,MOTOR VEHICLE THEFT,1158
2015.0,DRUG OFFENSE,614
2015.0,AGGRAVATED ASSAULT,584
2015.0,ROBBERY,373
2015.0,RAPE,145
2015.0,ARSON,33
2015.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,24
2016.0,LARCENY-THEFT,31831
2016.0,BURGLARY,11514
2016.0,MOTOR VEHICLE THEFT,7225
2016.0,DRUG OFFENSE,4649
2016.0,AGGRAVATED ASSAULT,4105
2016.0,ROBBERY,2568
2016.0,RAPE,971
2016.0,ARSON,275
2016.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,135
2017.0,LARCENY-THEFT,33290
2017.0,BURGLARY,11365
2017.0,MOTOR VEHICLE THEFT,6767
2017.0,AGGRAVATED ASSAULT,5203
2017.0,DRUG OFFENSE,4839
2017.0,ROBBERY,3027
2017.0,RAPE,1054
2017.0,ARSON,398
2017.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,153
2018.0,LARCENY-THEFT,33181
2018.0,BURGLARY,9288
2018.0,MOTOR VEHICLE THEFT,6911
2018.0,DRUG OFFENSE,5732
2018.0,AGGRAVATED ASSAULT,5392
2018.0,ROBBERY,2821
2018.0,RAPE,1033
2018.0,ARSON,461
2018.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,113
2019.0,LARCENY-THEFT,35885
2019.0,BURGLARY,8920
2019.0,DRUG OFFENSE,7199
2019.0,MOTOR VEHICLE THEFT,6755
2019.0,AGGRAVATED ASSAULT,5538
2019.0,ROBBERY,2738
2019.0,RAPE,1112
2019.0,ARSON,560
2019.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,131
2020.0,LARCENY-THEFT,33239
2020.0,MOTOR VEHICLE THEFT,7273
2020.0,BURGLARY,6885
2020.0,AGGRAVATED ASSAULT,6600
2020.0,DRUG OFFENSE,6458
2020.0,ROBBERY,2520
2020.0,RAPE,963
2020.0,ARSON,714
2020.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,195
2021.0,LARCENY-THEFT,34359
2021.0,MOTOR VEHICLE THEFT,7507
2021.0,AGGRAVATED ASSAULT,6498
2021.0,BURGLARY,5961
2021.0,DRUG OFFENSE,5686
2021.0,ROBBERY,2435
2021.0,RAPE,1017
2021.0,ARSON,781
2021.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,189
2022.0,LARCENY-THEFT,32236
2022.0,MOTOR VEHICLE THEFT,7512
2022.0,AGGRAVATED ASSAULT,6611
2022.0,DRUG OFFENSE,5957
2022.0,BURGLARY,5858
2022.0,ROBBERY,2193
2022.0,RAPE,962
2022.0,ARSON,885
2022.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,208
2023.0,LARCENY-THEFT,25928
2023.0,MOTOR VEHICLE THEFT,8561
2023.0,AGGRAVATED ASSAULT,6557
2023.0,DRUG OFFENSE,6165
2023.0,BURGLARY,5258
2023.0,ROBBERY,1800
2023.0,RAPE,956
2023.0,ARSON,727
2023.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,194
2024.0,LARCENY-THEFT,25998
2024.0,AGGRAVATED ASSAULT,6727
2024.0,MOTOR VEHICLE THEFT,6592
2024.0,DRUG OFFENSE,5120
2024.0,BURGLARY,4760
2024.0,ROBBERY,1931
2024.0,RAPE,867
2024.0,ARSON,674
2024.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,134
2025.0,LARCENY-THEFT,15956
2025.0,AGGRAVATED ASSAULT,4192
2025.0,MOTOR VEHICLE THEFT,3571
2025.0,BURGLARY,2561
2025.0,DRUG OFFENSE,2523
2025.0,ROBBERY,1120
2025.0,RAPE,523
2025.0,ARSON,412
2025.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,73
